hotel_id,review_text_positive,review_text_negative,review_score,traveler_type
201,"""Good matress, everything new in the bathroom.""","""Way too expensive for what you get in comparion to other hotels in the area. Noisy.""",6,Family
201,"""The stuff is amazing,very friendly and smiling. The breakfast was good but I preferred to eat only cottage cheese and pancakes-it was enough for me.""","""The room was in the corner at the 5th floor in an old building and it is really very old.The A/C is extremely noisy. The windows are so dirty,the room had a bad smell and it was full of flies. I could open only the balcony door during the night but I was not sure that it was safety. There was no lights or cameras on the streets and the balcony was opened for any guests from other rooms. The contingent of guests are so strange…Seems like it is a hotel for 1 night and for the cheap entertainment.""",5,Family
201,"""The location was perfect, and I barely smelled any coal smoke in the winter. The staff was fantastic!!! Very warm and friendly.""","""- Very pompous and over-the-top. - The room is as hot as a crematorium. The air temperature in the room is above comfortable. - There is no humidifier, the air is completely dry. - Yes, buy a toilet brush and put it next to the toilet. - At the entrance for breakfast they ask who you are from... like under the KGB. Dear owners, stop embarrassing yourself and humiliating your guests. I felt like a thief who came to steal candy from children, not to eat breakfast.""",6,Single
202,"""Surprisingly good budget hotel. The room was spacious, cozy, and very quiet thanks to solid walls.""","""The breakfast is very basic and not suitable for guests who follow a healthy diet.""",6,Single
202,"""Very friendly and helpful staff. Always polite and ready to assist with any request.""","""No kettle in the room, and when I asked for one, I was told there is only one for the whole hotel.""",8,Family
202,"""Good location in a calm area, but easy to get anywhere in the city.""","""The bathroom showed signs of wear with rust and an overall outdated look.""",7,Single
202,"""Clean and well-maintained rooms. You can see the hotel is not new, but everything is neat.""","""Noise from the bowling area was noticeable, even though it seemed far away.""",7,Single
202,"""Comfortable bed and a peaceful atmosphere. I slept very well here.""","""Only one bottle of water was provided for two guests, which felt insufficient.""",6,Single
202,"""Breakfast was simple but filling. You won’t stay hungry.""","""The mattress was uncomfortable, and the springs could be felt while sleeping.""",7,Single
202,"""Great value for money. A decent option for a short stay.""","""The hotel feels old and slightly overpriced for its condition.""",6,Family
203,"""Great location, delicious breakfast, and very welcoming staff.""","""The standard room is very small, suitable only for one night.""",8,Single
203,"""The hotel is very clean and beautifully decorated in a classic style. Interiors look elegant and cozy.""","""There were no bedside tables near the bed, which was inconvenient.""",8,Single
203,"""Excellent restaurant and very friendly waiters. Service was always polite and attentive.""","""The room was very hot and stuffy, and there was no option for partial ventilation.""",8,Single
203,"""Comfortable stay overall, breakfasts were tasty and satisfying.""","""It was impossible to regulate the room temperature or control the TV volume properly.""",7,Family
203,"""Nice rooms and good facilities. Bathrobes and personal amenities were provided.""","""No kettle in the room, although cups were provided.""",8,Single
203,"""I liked the flexible check-out time — checking out at the same time as check-in was a great bonus.""","""The bed was uncomfortable, and the pillows were too soft.""",9,Couple
203,"""Good value for money. Breakfast, staff, and cleanliness were all at a high level.""","""Breakfast choice was limited, and some dishes were undercooked.""",9,Single
204,"""Good value for money. The hotel is quiet, cozy, and suitable for a short stay.""","""The hotel feels outdated. Old rooms, creaking floors, and an old-fashioned bathroom.""",9,Family
204,"""Very friendly and helpful staff. The service feels warm and welcoming.""","""There was an unpleasant smell in the room, especially noticeable at night.""",7,Family
204,"""Clean and neat rooms. Nothing luxury, but everything you need is there.""","""No hot water at times, which made it impossible to take a proper shower.""",8,Single
204,"""The restaurant is excellent — tasty food, good meat, and pleasant atmosphere.""","""Rooms can be cold in winter, and showers clearly need renovation.""",8,Single
204,"""Nice territory with greenery and summer café. Calm and relaxing place.""","""Breakfast is very simple and limited, the same food every day.""",7,Single
204,"""Convenient location with parking and nearby places to eat.""","""The refrigerator was noisy, and room lighting was weak.""",6,Single
204,"""Comfortable hotel with reasonable prices. I would stay here again.""","""Some amenities are missing, like toothbrushes, proper pillows, or liquid soap.""",7,Couple
205,"""The room was clean and the administrator was very kind and helpful.""","""QR payment was not available, only bank transfer.""",7,Single
205,"""We arrived late and the café staff kindly prepared dinner for us.""","""There was no bottled water in the room, and the water cooler in the corridor was empty.""",8,Single
205,"""Clean bed linen and very friendly, welcoming staff at the reception.""","""The pillows were uncomfortable.""",7,Single
205,"""A small cozy hotel with a great balance of price and quality.""","""The refrigerator was not cleaned properly.""",8,Single
205,"""Quiet environment, spacious room, stable internet, and a comfortable workspace.""","""Low water pressure in the shower.""",7,Single
205,"""Homemade-style breakfast included in the price, which was convenient.""","""The mattress quality was poor and sound insulation was weak.""",6,Single
205,"""Perfect option for a one-night stay with a tasty breakfast and clean room.""","""The hotel is located far from the city center, on the outskirts.""",8,Single
206,"""It was very convenient that the hotel has its own restaurant, so we went straight to dinner after check-in.""","""The bed squeaked loudly even with the slightest movement, which caused discomfort during sleep.""",7,Couple
206,"""The room was clean, warm, and equipped with toiletries, which made the stay comfortable.""","""The slippers were too small, and without carpets on the floor it was uncomfortable.""",8,Couple
206,"""The reception staff was very helpful, assisted with taxis, and allowed luggage storage after check-out.""","""It would be useful to add a kettle and tea facilities to the room.""",8,Couple
206,"""Good location, spacious room, and a pleasant, quiet environment.""","""The breakfast deposit system was inconvenient, especially when staying with two guests.""",8,Family
206,"""Excellent service, cleanliness, and well-kept territory of the hotel.""","""Some bathroom furniture looks outdated and needs renovation.""",7,Couple
206,"""Large rooms, beautiful surroundings, and tasty food created a cozy atmosphere.""","""The breakfast pricing felt overpriced for simple dishes.""",8,Couple
206,"""Great location near a large park with convenient logistics around the city.""","""The air conditioner was noisy and did not work efficiently.""",8,Single
207,"""The hotel was very clean and tidy, which made the stay comfortable.""","""Breakfast was not provided earlier as promised, and there was no cook on site in the morning.""",8,Couple
207,"""Cleanliness and a new hotel building left a very good impression.""","""The air conditioner was very noisy and disturbed sleep.""",8,Couple
207,"""For us, the most important thing was cleanliness and having air conditioning in the room.""","""Wi-Fi worked only at the reception and was unavailable in the room.""",7,Single
207,"""The room was cozy and clean, everything was well maintained.""","""There were serious problems with Wi-Fi during the stay.""",7,Single
207,"""The hotel is new, with white bed linen and towels, and a good level of comfort for the price.""","""Water temperature in the shower kept changing from hot to cold, making it uncomfortable.""",8,Family
207,"""Cozy atmosphere, clean rooms, excellent restaurant and helpful staff.""","""The hotel is located far from the city center.""",8,Single
207,"""Good value for money, everything was fine during the stay.""","""Sound insulation was poor, and noise from the corridor could be clearly heard.""",7,Single
208,"""Everything was fine, all expectations were met.""","""Shampoo was not provided, and the shower worked inconsistently.""",8,Couple
208,"""Very polite and friendly staff, the stay was better than expected.""","""It was a bit cold in both the room and the bathroom.""",8,Couple
208,"""Beautiful interior and pleasant atmosphere in the room.""","""Carrying suitcases upstairs was inconvenient due to stairs.""",8,Single
208,"""The room was clean, nicely renovated, and had a beautiful view.""","""Breakfast could be improved in terms of variety and food combinations.""",7,Single
208,"""Great value for money with good service, pool, gym, and breakfast included.""","""Some dishes at breakfast were overcooked.""",8,Single
208,"""One of the best hotels in Karaganda, highly recommended.""","""The room temperature was not fully comfortable.""",8,Couple
208,"""The room was spacious and comfortable, with excellent sound insulation and thoughtful details.""","""Minor issues overall, but nothing critical.""",9,Couple
209,"""Good breakfast, very clean, and high-quality towels.""","""Train noise could be heard, although it was not critical.""",8,Single
209,"""The hotel was clean and comfortable, with fresh linen and white towels.""","""Lack of an elevator was inconvenient, especially with luggage.""",7,Single
209,"""Very clean and cozy hotel, the staff considered all requests. Highly recommended.""","""Breakfast quality has declined compared to previous visits.""",8,Single
209,"""Clean, cozy, comfortable stay with no unpleasant smells.""","""Breakfast was poorly prepared, food was cold and insufficiently heated.""",9,Single
209,"""Excellent value for money, I stay here regularly and everything meets expectations.""","""Hot water takes time to come through, which causes inconvenience.""",8,Single
209,"""Convenient location, helpful staff, and good service overall.""","""There were interruptions with hot water due to technical issues.""",7,Couple
209,"""High level of cleanliness, parking always available, and a warm, welcoming atmosphere.""","""Food quality at breakfast needs improvement.""",9,Single
210,"""Cozy, clean, and beautifully designed hotel with a tasty and reasonably priced restaurant.""","""Breakfast should start earlier, from 7 a.m.""",8,Single
210,"""Comfortable hotel located on the way from the city center to the airport, clean and well maintained.""","""One air conditioner was not enough for a two-bedroom suite.""",8,Single
210,"""Large and clean room with good mattresses, quality linen, and friendly staff.""","""Restaurant prices felt unreasonably high for average-quality food.""",7,Single
210,"""Excellent hotel with comfortable rooms and polite, welcoming personnel.""","""The shower had poor drainage and low water pressure.""",8,Single
210,"""Very clean and spacious room with a good breakfast.""","""It was difficult to regulate the water temperature in the shower.""",9,Single
210,"""I stay at this hotel regularly — it is always clean, cozy, and has everything needed.""","""Rooms felt a bit too simple for the price.""",9,Single
210,"""Modern and clean hotel with a great restaurant, rich buffet breakfast, and fast internet.""","""The room felt slightly cool, especially during windy weather.""",9,Single
211,"""Everything was perfect, no complaints at all.""","""There was an unpleasant smell in the bathroom.""",8,Couple
211,"""Very cozy hotel with polite staff and a delicious breakfast.""","""A slight sewage smell was noticed in the room at first.""",8,Single
211,"""Excellent breakfast and very quiet atmosphere, perfect for a good night’s sleep.""","""The smell disappeared only after turning on the air conditioner.""",8,Couple
211,"""Extremely clean hotel with an amazing breakfast and a wonderful administrator.""","""No major issues, but the bathroom odor needs attention.""",8,Couple
211,"""Very friendly and helpful staff, great location, clean and comfortable room.""","""The room had a noticeable smell in the toilet area.""",9,Single
211,"""Clean and cozy rooms, super breakfasts, and excellent value for money.""","""Minor cleanliness issue related to bathroom smell.""",8,Single
211,"""Spacious and bright room, tasty food, and welcoming personnel.""","""The unpleasant smell in the bathroom slightly affected the overall impression.""",7,Family
212,"""Excellent service, everything was at a very high level. The hotel was clean, cozy, and well equipped.""","""There was no breakfast available during the stay.""",6,Couple
212,"""Very clean and comfortable room with good furniture and all necessary amenities.""","""The hotel does not have its own kitchen on site.""",7,Couple
212,"""Perfect hotel for a quiet and relaxing stay, calm atmosphere and friendly staff.""","""There was no coffee provided in the room.""",7,Couple
212,"""Clean rooms, polite personnel, and a very homely feeling.""","""Lack of breakfast options may be inconvenient for some guests.""",7,Family
212,"""The staff was very responsive and customer-oriented, especially the front desk.""","""It would be nice to have a café or breakfast service inside the hotel.""",7,Family
212,"""Cozy hotel with secure parking, convenient location, and pleasant service.""","""No in-room coffee or tea facilities were available.""",7,Single
212,"""Very clean and уютный room, friendly staff, and a great overall experience.""","""Limited food service options at the hotel.""",7,Single
213,"""We were upgraded to a two-room apartment instead of our original room. Everything was clean and beautiful, highly recommended.""","""There was often no one at the reception desk.""",7,Single
213,"""Soft and wide bed, clean room, and some of the best breakfasts we had.""","""The room was located on the ground floor with windows facing the street.""",8,Single
213,"""Very clean and cozy room with a tasty homemade breakfast and friendly staff.""","""The hotel is a bit far from the city center.""",8,Single
213,"""Excellent hotel with clean rooms, strong hot water pressure, and delicious breakfast.""","""During the day it was noisy with open windows due to traffic.""",8,Couple
213,"""Outstanding breakfasts with a wide choice of national and European dishes, thanks to the amazing chef.""","""There were problems with the shower cabin.""",8,Couple
213,"""Spacious and comfortable room with a kettle, water, coffee, and tea. Good breakfast included.""","""The room lacked a large mirror.""",8,Family
213,"""Modern, clean hotel with new rooms, excellent breakfast buffet, and a comfortable common area.""","""Some rooms are noisy during daytime because the hotel is on a busy street.""",8,Family
214,"""Very unusual and stylish interior, everything was clean and well maintained. Highly recommended.""","""The hotel price has increased compared to previous stays.""",7,Family
214,"""Luxurious two-level suite with a lot of designer details and modern technology. Absolutely loved it.""","""The room cost felt higher due to a more luxurious category.""",7,Family
214,"""Interesting interior, good breakfasts, and very polite staff. Everything was excellent overall.""","""Some guests may expect bottled water in the room instead of a shared filtered tap.""",8,Single
214,"""Extremely friendly employees, perfect cleanliness, great service, and very tasty food.""","""Not all guests may immediately notice the filtered water taps outside the rooms.""",7,Single
214,"""Cozy hotel with spacious rooms, full toiletries, and excellent value for money.""","""The hotel is small and does not offer facilities like a swimming pool or gym.""",6,Single
214,"""Amazing breakfast with a wide variety of dishes, polite staff, and comfortable atmosphere.""","""The concept may not suit guests who prefer large chain hotels.""",7,Single
214,"""Bright and bold interior design, spacious clean rooms, and a strong feeling of comfort.""","""No major issues, but luxury rooms come at a higher price.""",7,Single
215,"""Very clean and cozy hotel with a modern design and a comfortable atmosphere.""","""The staff lacked customer-oriented attitude in some situations.""",8,Couple
215,"""Friendly and polite staff, always ready to help guests.""","""There was an unpleasant smell of sewage in the room.""",8,Couple
215,"""Rooms are spacious, well equipped, and include a kitchenette, which is very convenient.""","""Hot water was sometimes unavailable or had a strange smell.""",9,Single
215,"""Excellent value for money with good location near shops and the railway station.""","""Breakfast was rather modest and could be more varied.""",7,Single
215,"""Comfortable beds, quiet environment, and pleasant overall stay.""","""The air conditioning system could not be adjusted individually.""",8,Single
215,"""Modern hotel with clean rooms, fresh linen, and quality furniture.""","""Noise insulation was weak, and sounds from соседние rooms were clearly audible.""",8,Family
215,"""Great option for business trips with kitchens in the rooms and a calm atmosphere.""","""Problems with service communication at the reception were noted.""",9,Family
216,"""Flexible check-in time was a big advantage and very convenient.""","""The promised room upgrade was not provided due to system issues.""",8,Family
216,"""Good breakfast and comfortable bed.""","""Water pressure in the shower was weak.""",8,Couple
216,"""Clean room with a comfortable bed and necessary toiletries provided.""","""The shower water temperature kept changing between hot and cold.""",9,Couple
216,"""A bottle of water was available in the room, which was convenient.""","""Breakfast was not provided despite being included in the booking.""",8,Single
216,"""The bed was comfortable and the room was generally clean.""","""Towels were worn out and felt unpleasant to use.""",9,Single
216,"""Nice overall stay with basic amenities available.""","""The room was quite cold during the stay.""",8,Single
216,"""The hotel met expectations for a short stay.""","""Inconsistent water temperature made showering uncomfortable.""",9,Single
217,"""Surprisingly good breakfast, spacious room with clean beds and attentive staff.""","""Unpleasant smell in hotel corridors, although rooms themselves were fine.""",8,Single
217,"""Clean, quiet and cozy hotel with tasty food available downstairs.""","""Breakfast quality did not meet expectations.""",8,Couple
217,"""Very clean room with no unpleasant smells and all necessary amenities for a short stay.""","""The plumbing in the room was quite worn out.""",9,Single
217,"""Friendly and helpful staff, clean rooms and good equipment.""","""Some areas of the hotel could use renovation.""",9,Single
217,"""Excellent service and attentive administrator during check-in.""","""Breakfast options were limited compared to expectations.""",9,Couple
217,"""Comfortable hotel near the city park with polite staff and clean rooms.""","""Corridors had noticeable odors that affected comfort.""",7,Couple
217,"""Very cozy and clean hotel with good breakfast options and thoughtful amenities.""","""Sanitary equipment works but feels outdated.""",9,Single
218,"""Excellent room quality and friendly staff who helped even during booking issues""","""No proper coffee machine at breakfast, only instant coffee""",8,Single
218,"""Very good rooms with tasty and well-prepared breakfast""","""Long waiting time before check-in until 15:00""",8,Family
218,"""Great location with excellent breakfast and high food quality""","""Unprofessional behavior from spa and gym staff, felt rushed to leave""",9,Single
218,"""Perfect location, varied breakfast and very polite professional staff""","""Air conditioner worked poorly and did not cool the room""",8,Single
218,"""Clean room, excellent breakfast and fast response from hotel staff""","""Very thin walls, noise from neighboring rooms""",9,Single
218,"""Very welcoming and friendly personnel, great breakfast, would return again""","""Room was cold, heating system did not work properly""",8,Single
218,"""Good location, cleanliness and attentive service, breakfast was satisfying""","""Old furniture and water stagnated in the shower""",7,Single
219,"""Very clean, warm and cozy hotel, quiet atmosphere""","""Hotel is far from the city center, although it is quiet""",7,Couple
219,"""Best hotel in its price category in Pavlodar, tasty and high-quality breakfast""","""Food smells from the corridor in the morning were noticeable in the room""",8,Couple
219,"""Clean, comfortable rooms with polite and attentive staff""","""Noise from the dining area early in the morning""",7,Couple
219,"""Excellent breakfast, good service and very clean rooms""","""Bathroom curtain should be replaced, it was unpleasant""",8,Single
219,"""Interesting interior design, immediate check-in and comfortable bedding""","""Television did not work in the room""",8,Single
219,"""Friendly and attentive staff, clean rooms and delicious breakfast""","""Hot water takes several minutes to reach upper floors""",7,Single
219,"""Great value for money, breakfast included and convenient location""","""High price for late checkout and lack of clear price list for extra services""",9,Family
220,"""Everything was wonderful, good breakfast and beautiful nature around the hotel""","""Having to walk up to the fourth floor, no elevator""",9,Family
220,"""The room was clean and cozy, fully equipped, excellent restaurant and amazing breakfasts""","""Breakfast was average, no elevator and no designated smoking area""",9,Couple
220,"""Good location, large and spacious rooms, friendly staff""","""It was a bit inconvenient to climb to the fourth floor""",9,Couple
220,"""Spacious room with a jacuzzi bath, very welcoming and polite staff""","""Breakfast system is inflexible, early breakfast was refused for early departure""",8,Couple
220,"""Cozy and well-thought-out room, clean, comfortable bed and a full breakfast""","""No breakfast boxes available for early flights or trains""",9,Single
220,"""Great place with bright and spacious rooms, kind and helpful staff""","""The absence of an elevator causes inconvenience for guests""",8,Single
220,"""Excellent hotel, great room and very friendly personnel""","""Jacuzzi could not be turned on in the room""",8,Single
221,"""Very clean and cozy hotel with an excellent buffet breakfast""","""No negative aspects mentioned by guests""",8,Family
221,"""Friendly, attentive and helpful staff""","""Everything met or exceeded expectations""",9,Couple
221,"""Great location in the historical city center, close to park and embankment""","""Guests reported no complaints during their stay""",9,Couple
221,"""Spacious and comfortable rooms with balconies""","""No drawbacks were stated in the reviews""",9,Couple
221,"""Good value for money with high-level comfort""","""Nothing to criticize, all services were satisfactory""",8,Family
221,"""Underground parking available, very convenient for guests""","""First time with no complaints at all""",9,Single
221,"""Breakfast can be arranged earlier for early departures""","""No issues were highlighted by reviewers""",9,Single
222,"""Convenient central location close to shops and restaurants""","""Price does not match the quality of services provided""",8,Family
222,"""Friendly and welcoming staff""","""No kettle, toothbrush, toothpaste or safety deposit box in the room""",8,Family
222,"""Spacious and clean rooms with comfortable beds""","""Very weak and unstable Wi-Fi connection""",8,Single
222,"""Quiet hotel with good parking facilities""","""Rooms are outdated and require renovation""",8,Single
222,"""Warm rooms even during cold weather""","""Plumbing and shower cabins are worn out and need repair""",9,Couple
222,"""Breakfasts are filling and home-style according to some guests""","""Breakfast quality is inconsistent and often criticized by guests""",9,Couple
222,"""Good choice of breakfast options""","""Issues with hot water supply were reported""",9,Single
223,"""Small cozy hotel near the lake, within walking distance to the city center and main attractions.""","""The breakfast menu was rather limited and could be improved.""",7,Couple
223,"""The room windows overlooked the lake, the view was really beautiful.""","""There was only one shampoo and shower gel provided for two people.""",7,Single
223,"""Excellent location, you step out of the hotel and are right by the Riviera.""","""The public transport stop was far from the hotel.""",8,Single
223,"""Very tasty breakfast and friendly staff, the service was great.""","""The bed was uncomfortable, and the pillows were too thin and hard.""",8,Single
223,"""Bright room with large windows, amazing lake view and unforgettable sunsets.""","""There was no place to dry clothes or towels in the room.""",9,Single
223,"""Everything was perfect: great view, excellent location and very attentive staff.""","""The TV signal was weak and did not work properly.""",9,Couple
223,"""Spacious and comfortable room with everything needed, clean and cozy atmosphere.""","""The price felt slightly too high for the overall experience.""",9,Family
224,"""Great location close to the city center with easy access to shops, cafes, and attractions.""","""Housekeeping needs improvement, the quality of cleaning was inconsistent.""",6,Couple
224,"""Friendly and helpful staff made the stay much more pleasant.""","""Breakfast selection was poor and did not meet international standards.""",6,Family
224,"""Spacious room with a comfortable bed and all basic amenities provided.""","""It was difficult to find a free table during breakfast hours.""",6,Family
224,"""Very convenient for a short stay, especially for business trips.""","""The room felt outdated with old furniture and worn facilities.""",7,Single
224,"""Nice sports bar on the second floor, one of the best features of the hotel.""","""Noise from the corridor was easily heard through the door, making it hard to sleep.""",6,Single
224,"""Good value for money considering the central location.""","""The bathroom was uncomfortable and poorly designed.""",7,Single
224,"""Tasty and filling breakfast, you will not leave hungry.""","""Staff attitude during breakfast hours could be better.""",7,Single
225,"""Beautiful property, the place has a lot of charm.""","""The hotel needs better maintenance and more attention to detail.""",6,Single
225,"""The staff did their best to satisfy our requests.""","""There was a water leak under the sink in the bathroom.""",7,Family
225,"""The crew was very kind and helpful.""","""There were unpleasant humidity smells in the room.""",7,Family
225,"""Personnel were polite and attentive during the stay.""","""The gardens and corridors were poorly maintained.""",7,Business-traveler
225,"""After changing rooms, the accommodation was comfortable.""","""We had to change rooms due to the condition of the first one.""",7,Family
225,"""Good overall experience thanks to friendly service.""","""We had to pay extra to get a room in acceptable condition.""",7,Couple
225,"""The atmosphere of the hotel was pleasant despite some issues.""","""The overall upkeep of the hotel felt minimal.""",7,Family
226,"""Very cozy and warm hotel with friendly and attentive reception staff.""","""After showering, the entire bathroom floor was flooded and very slippery.""",7,Single
226,"""Rooms are bright, spacious, modern and very clean.""","""There is no proper floor drain in the shower, which causes water to stay for a long time.""",7,Single
226,"""Everything felt new and fresh, including bed linen and towels.""","""The floors were cold and had steps, and the view was facing nearby buildings.""",6,Single
226,"""Very tasty breakfast, exceeded expectations.""","""The breakfast was very simple and limited.""",7,Single
226,"""Great location and good cleanliness overall.""","""There was confusion with pricing at reception compared to the booking price.""",7,Single
226,"""The hotel has recently reopened after renovation and everything was excellent.""","""The room was very large but had no wardrobe to store clothes.""",7,Family
226,"""Quiet, comfortable stay with good internet and a large modern TV.""","""The bathroom layout was uncomfortable, with the toilet and shower interfering with each other.""",7,Family
227,"""Tasty breakfast and very convenient location with a bus stop right next to the hotel.""","""The shower was very uncomfortable and required stepping up high to get inside.""",8,Family
227,"""The room was larger than expected and comfortable for a family stay.""","""The rooms were not very clean and could be better maintained.""",8,Single
227,"""Friendly and responsive staff made the stay very pleasant.""","""The room felt outdated and clearly needs renovation.""",7,Single
227,"""Good value for money, reasonable prices and a convenient area.""","""It was very stuffy in the room, neither air conditioning nor opening the window helped.""",7,Single
227,"""The hotel offers an elevator and a microwave to heat your own food.""","""The parking area was very small and inconvenient.""",6,Single
227,"""Very polite and helpful staff, everyone from reception to housekeeping was great.""","""There was an unpleasant smell in the bathroom.""",7,Single
227,"""Nice breakfast with fresh pastries, eggs and good coffee.""","""Some minor issues like a non-working TV and lack of bathroom accessories reduced comfort.""",8,Single
235,"""Quiet, friendly staff, uncomplicated.""","""Location.""",7,Business-traveler
235,"""The room had a nice bed, pillows, and a blanket, although I had to put the cover myself on the blanket. The pillows were in pillowcases...""","""There was a noise outside from the parking lot and light from the corridor was getting from under the door""",8,Single
235,"""Clean facility, Friendly & helpful Staff""","""The TV remote didn’t work & the room was a bit cold.""",9,Single
235,"""Spacious room""","""Did not accept debit card payment. Wanted cash. Took a while for reception to finally accept""",10,Single
235,"""Clean, soft-touch robes, towels, and more. High-quality toothpaste, toothbrushes, shaving kit, slippers, and other amenities.""","""The drain handle in the shower stall is leaking; it just needs to be replaced. It's not a big deal.""",8,Business-traveler
235,"""The room is large and clean.""","""Audibility in the rooms.""",7,Single
235,"""The hotel is in the center, breakfast is included, there is a refrigerator in the room, everything you need.""","""The rooms are strange, three beds in a room, carpet everywhere, not great for allergy sufferers.""",7,Couple
236,"""Most of the receptionists were very helpful.Good that hotel was located across from a restaurant.
Modern room.
Location was superior to Semey Hotel,the other option.
Taxi calls by hotel were great.""","""TV was too complex for me and thus not an option.Dissapointing.
One receptionist had a bad attitude.
Took a while to gather information about tourist sites.Town lacks tourist info.
Nothing to do with the hotel but The Polygon tours from Semey ,as advertised on the Internet ,were the most outrageously priced tours in the world.A total Scam.Government must regulate down to reasonable""",8,Single
236,"""cleanliness, availability of bathroom accessories, slippers, drinking water, there is the embankment area behind the hotel""","""the grocery stores are a little further from the hotel, periodically you can hear a hum from either the refrigerator of the neighboring flower shop or something else""",7,Family
236,"""Very clean, the bed doesn't smell of anything extra, spacious and quiet.""","""There is no refrigerator in the room, and it took a long time to sort out the paperwork; we had to remind people and figure out exactly what was required.""",9,Single
236,"""Rooms were clean and spacious. Was allowed to store luggage before and after check-in hours.""","""Air conditioning was only available for higher-priced rooms. Wi-Fi was practically unusable at night.""",7,Single
236,"""I liked everything; the room was clean and everything worked as normal.
The hotel's location is good.""","""The only complaint is that the room has an electric kettle, a liter of water, and cups. They could have used tea bags. It's a small thing, but guests will appreciate it.
There's no elevator yet, and it's only four floors, so it might be a bit inconvenient for guests with large bags.""",9,Single
236,"""Everything is done well, the room is clean, all amenities are available""","""There was no breakfast. There was also a problem with the travel documents, but in the end they solved it. When I washed myself, from the cabin""",7,Single
236,"""Cleanliness in the room and bathroom, comfortable bed""","""There is no elevator in the hotel. It was hard for us to go up to the third floor after training and competitions 😂.

On the table in the room there was a list of things that were prohibited to do. It was an unpleasant feeling, as if they were deliberately expecting me to do something wrong.""",7,Family
237,"""Like the decor the soviet styled lobby eating area and large bedrooms. Giant bathroom on my suite sofa. Staff cooked food for me. I speak English they spoke Russian most straight forward conversation I have had. Just patiently worked through it. Was tasty""","""Old skool soviet hotel limited to no facilities in bedroom coffee etc. The bed wow that was something it was the mattress it was so thin I could feel the springs and it was so old it had caved in so it had high and low spots..""",7,Single
237,"""Very clean room with all basic amenities.""","""Very bad mattress""",7,Single
237,"""Location is good, in the center of the city, clean and friendly service.""","""Don't expect any fancy hotel, it is old Soviet-time hotel without reconstruction but good proportion price to quality""",7,Single
237,"""Canteen staff""","""No one come for broken tv . Tv didnt work""",8,Single
237,"""It‘s a bit old but offers all you need.
Nice bed, view, heating and hot shower.
Would come again.""","""Breakfast was very basic""",9,Single
237,"""Lovely Soviet era property with huge bedrooms - complete with a living room- and a very comfy bed and fast internet""","""Not modern at all but that’s the whole point!""",9,Single
237,"""Great location, excellent budget option for short trips""","""Need a big renovation""",9,Single
238,"""Helpful staff, delicious breakfast, it was wonderful.""","""There was only one minus, but they are small, so to speak, there was no soundproofing (that was a bit disappointing. You could hear what the neighbors were doing.""",6,Single
238,"""Staff""","""Bed, small room, no kitchen. However, it corresponds to the price. I didn't choose carefully.""",5,Family
238,"""I stayed at AHMAD HOTEL for a few days and had a very positive experience with the place. First of all, the location of the hotel was perfect for my trip. It was located in the city center, making it close to major attractions, restaurants and shopping. The interior of the hotel also left a deep impression on me. The hotel was furnished with excellent taste and the cozy atmosphere created a feeling of comfort and relaxation. The staff at AHMAD HOTEL were exceptionally friendly and helpful. They were always ready to help with any of my requests and questions. Special thanks for their professionalism and hospitality. The room I stayed in was clean and comfortable. I appreciated the comfortable bed and well-equipped bathroom. It is also worth noting that the breakfasts provided at the hotel were varied and delicious. I always started my day with a good meal. In addition, the cost of staying at the hotel was very reasonable considering the level of service and quality of services provided. I was very pleased with my stay at AHMAD HOTEL and will definitely consider it as my first choice when next visiting the city. I recommend this hotel to anyone looking for a comfortable and welcoming place to stay.""","""However, one of the small drawbacks of the AHMAD HOTEL that is worth mentioning is that there is no possibility to order dinner in the evening. However, in compensation for this, they always hospitably treat guests with a variety of tasty treats and tea. It's a nice gesture, but for those who prefer to dine at the hotel, it may be a bit of an inconvenience. Otherwise, my stay here was pleasant and comfortable and I would recommend this place to anyone looking for a cozy and welcoming place to stay.""",10,Single
238,"""Good location""","""The hotel is a ""tired"" junior suite, but in essence it is a hostel.The sockets in the room are all hanging on a cable or are missing, the bathtub does not close, the room is double and there is only one hanger, there are no tea accessories, no glasses. Breakfast is brought to the room, but it is cold; the only hot thing is water in the kettle.""",5,Family
238,"""The only plus was the comfortable temperature in the room.""","""1. Negative reviews are real, they clean very badly, hair in the bathroom, etc. I begged for toiletries. I asked to give a receipt for payment, they never gave it to me. 2. I booked for a day, but they gave me the opportunity to stay for 16 hours. Supposedly booking rounded up incorrectly?! This is the first time:)""",3,Family
238,"""the room is big""","""staff who don't know what ethics and relaxation are.
repairs required
the socket is sticking out dangerously""",3,Family
